itemid,datasetid,hasbird
b108_50_60,TUT-acoustic-scenes-2017,0
b108_30_40,TUT-acoustic-scenes-2017,0
b108_40_50,TUT-acoustic-scenes-2017,0
a054_20_30,TUT-acoustic-scenes-2017,0
a054_10_20,TUT-acoustic-scenes-2017,0
a054_0_10,TUT-acoustic-scenes-2017,0
a054_70_80,TUT-acoustic-scenes-2017,0
a054_60_70,TUT-acoustic-scenes-2017,0
a054_80_90,TUT-acoustic-scenes-2017,0
a054_90_100,TUT-acoustic-scenes-2017,0
a054_110_120,TUT-acoustic-scenes-2017,0
a054_100_110,TUT-acoustic-scenes-2017,0
a054_130_140,TUT-acoustic-scenes-2017,0
a054_140_150,TUT-acoustic-scenes-2017,0
a054_120_130,TUT-acoustic-scenes-2017,0
a054_50_60,TUT-acoustic-scenes-2017,0
a054_40_50,TUT-acoustic-scenes-2017,0
a054_30_40,TUT-acoustic-scenes-2017,0
a045_130_140,TUT-acoustic-scenes-2017,0
a045_120_130,TUT-acoustic-scenes-2017,0
a045_140_150,TUT-acoustic-scenes-2017,0
a045_80_90,TUT-acoustic-scenes-2017,0
a045_60_70,TUT-acoustic-scenes-2017,0
a045_70_80,TUT-acoustic-scenes-2017,0
a045_10_20,TUT-acoustic-scenes-2017,0
a045_0_10,TUT-acoustic-scenes-2017,0
a045_20_30,TUT-acoustic-scenes-2017,0
a045_90_100,TUT-acoustic-scenes-2017,0
a045_100_110,TUT-acoustic-scenes-2017,0
a045_110_120,TUT-acoustic-scenes-2017,0
a045_50_60,TUT-acoustic-scenes-2017,0
a045_40_50,TUT-acoustic-scenes-2017,0
a045_30_40,TUT-acoustic-scenes-2017,0
a045_150_160,TUT-acoustic-scenes-2017,0
a045_170_180,TUT-acoustic-scenes-2017,0
a045_160_170,TUT-acoustic-scenes-2017,0
a071_120_130,TUT-acoustic-scenes-2017,0
a071_130_140,TUT-acoustic-scenes-2017,0
a071_140_150,TUT-acoustic-scenes-2017,0
a071_60_70,TUT-acoustic-scenes-2017,0
a071_80_90,TUT-acoustic-scenes-2017,0
a071_70_80,TUT-acoustic-scenes-2017,0
a071_30_40,TUT-acoustic-scenes-2017,0
a071_40_50,TUT-acoustic-scenes-2017,0
a071_50_60,TUT-acoustic-scenes-2017,0
a071_160_170,TUT-acoustic-scenes-2017,0
a071_150_160,TUT-acoustic-scenes-2017,0
a071_170_180,TUT-acoustic-scenes-2017,0
a071_110_120,TUT-acoustic-scenes-2017,0
a071_100_110,TUT-acoustic-scenes-2017,0
a071_90_100,TUT-acoustic-scenes-2017,0
a071_10_20,TUT-acoustic-scenes-2017,0
a071_20_30,TUT-acoustic-scenes-2017,0
a071_0_10,TUT-acoustic-scenes-2017,0
a106_260_270,TUT-acoustic-scenes-2017,0
a106_240_250,TUT-acoustic-scenes-2017,0
a106_250_260,TUT-acoustic-scenes-2017,0
a106_160_170,TUT-acoustic-scenes-2017,0
a106_150_160,TUT-acoustic-scenes-2017,0
a106_170_180,TUT-acoustic-scenes-2017,0
a106_180_190,TUT-acoustic-scenes-2017,0
a106_190_200,TUT-acoustic-scenes-2017,0
a106_200_210,TUT-acoustic-scenes-2017,0
a106_70_80,TUT-acoustic-scenes-2017,0
a106_60_70,TUT-acoustic-scenes-2017,0
a106_80_90,TUT-acoustic-scenes-2017,0
a106_270_280,TUT-acoustic-scenes-2017,0
a106_290_300,TUT-acoustic-scenes-2017,0
a106_280_290,TUT-acoustic-scenes-2017,0
a106_100_110,TUT-acoustic-scenes-2017,0
a106_90_100,TUT-acoustic-scenes-2017,0
a106_110_120,TUT-acoustic-scenes-2017,0
a106_30_40,TUT-acoustic-scenes-2017,0
a106_50_60,TUT-acoustic-scenes-2017,0
a106_40_50,TUT-acoustic-scenes-2017,0
a106_120_130,TUT-acoustic-scenes-2017,0
a106_140_150,TUT-acoustic-scenes-2017,0
a106_130_140,TUT-acoustic-scenes-2017,0
a107_110_120,TUT-acoustic-scenes-2017,0
a107_90_100,TUT-acoustic-scenes-2017,0
a107_100_110,TUT-acoustic-scenes-2017,0
a107_270_280,TUT-acoustic-scenes-2017,0
a107_290_300,TUT-acoustic-scenes-2017,0
a107_280_290,TUT-acoustic-scenes-2017,0
a107_70_80,TUT-acoustic-scenes-2017,0
a107_80_90,TUT-acoustic-scenes-2017,0
a107_60_70,TUT-acoustic-scenes-2017,0
a107_210_220,TUT-acoustic-scenes-2017,0
a107_230_240,TUT-acoustic-scenes-2017,0
a107_220_230,TUT-acoustic-scenes-2017,0
a107_130_140,TUT-acoustic-scenes-2017,0
a107_120_130,TUT-acoustic-scenes-2017,0
a107_140_150,TUT-acoustic-scenes-2017,0
a107_260_270,TUT-acoustic-scenes-2017,0
a107_250_260,TUT-acoustic-scenes-2017,0
a107_240_250,TUT-acoustic-scenes-2017,0
a107_200_210,TUT-acoustic-scenes-2017,0
a107_180_190,TUT-acoustic-scenes-2017,0
a107_190_200,TUT-acoustic-scenes-2017,0
a107_170_180,TUT-acoustic-scenes-2017,0
a107_150_160,TUT-acoustic-scenes-2017,0
a107_160_170,TUT-acoustic-scenes-2017,0
a107_30_40,TUT-acoustic-scenes-2017,0
a107_50_60,TUT-acoustic-scenes-2017,0
a107_40_50,TUT-acoustic-scenes-2017,0
a109_220_230,TUT-acoustic-scenes-2017,0
a109_230_240,TUT-acoustic-scenes-2017,0
a109_210_220,TUT-acoustic-scenes-2017,0
a109_20_30,TUT-acoustic-scenes-2017,0
a109_10_20,TUT-acoustic-scenes-2017,0
a109_0_10,TUT-acoustic-scenes-2017,0
a109_160_170,TUT-acoustic-scenes-2017,0
a109_170_180,TUT-acoustic-scenes-2017,0
a109_150_160,TUT-acoustic-scenes-2017,0
a109_90_100,TUT-acoustic-scenes-2017,0
a109_100_110,TUT-acoustic-scenes-2017,0
a109_110_120,TUT-acoustic-scenes-2017,0
a109_80_90,TUT-acoustic-scenes-2017,0
a109_70_80,TUT-acoustic-scenes-2017,0
a109_60_70,TUT-acoustic-scenes-2017,0
a109_130_140,TUT-acoustic-scenes-2017,0
a109_120_130,TUT-acoustic-scenes-2017,0
a109_140_150,TUT-acoustic-scenes-2017,0
a109_200_210,TUT-acoustic-scenes-2017,0
a109_190_200,TUT-acoustic-scenes-2017,0
a109_180_190,TUT-acoustic-scenes-2017,0
b050_0_10,TUT-acoustic-scenes-2017,0
b050_10_20,TUT-acoustic-scenes-2017,0
b050_20_30,TUT-acoustic-scenes-2017,0
b050_140_150,TUT-acoustic-scenes-2017,0
b050_120_130,TUT-acoustic-scenes-2017,0
b050_130_140,TUT-acoustic-scenes-2017,0
b050_90_100,TUT-acoustic-scenes-2017,0
b050_110_120,TUT-acoustic-scenes-2017,0
b050_100_110,TUT-acoustic-scenes-2017,0
b050_160_170,TUT-acoustic-scenes-2017,0
b050_150_160,TUT-acoustic-scenes-2017,0
b050_170_180,TUT-acoustic-scenes-2017,0
b050_40_50,TUT-acoustic-scenes-2017,0
b050_30_40,TUT-acoustic-scenes-2017,0
b050_50_60,TUT-acoustic-scenes-2017,0
b050_60_70,TUT-acoustic-scenes-2017,0
b050_70_80,TUT-acoustic-scenes-2017,0
b050_80_90,TUT-acoustic-scenes-2017,0
b050_200_210,TUT-acoustic-scenes-2017,0
b050_180_190,TUT-acoustic-scenes-2017,0
b050_190_200,TUT-acoustic-scenes-2017,0
a052_170_180,TUT-acoustic-scenes-2017,0
a052_160_170,TUT-acoustic-scenes-2017,0
a052_150_160,TUT-acoustic-scenes-2017,0
a052_50_60,TUT-acoustic-scenes-2017,0
a052_30_40,TUT-acoustic-scenes-2017,0
a052_40_50,TUT-acoustic-scenes-2017,0
a052_120_130,TUT-acoustic-scenes-2017,0
a052_130_140,TUT-acoustic-scenes-2017,0
a052_140_150,TUT-acoustic-scenes-2017,0
a052_60_70,TUT-acoustic-scenes-2017,0
a052_70_80,TUT-acoustic-scenes-2017,0
a052_80_90,TUT-acoustic-scenes-2017,0
a052_100_110,TUT-acoustic-scenes-2017,0
a052_90_100,TUT-acoustic-scenes-2017,0
a052_110_120,TUT-acoustic-scenes-2017,0
a052_20_30,TUT-acoustic-scenes-2017,0
a052_0_10,TUT-acoustic-scenes-2017,0
a052_10_20,TUT-acoustic-scenes-2017,0
a053_110_120,TUT-acoustic-scenes-2017,0
a053_100_110,TUT-acoustic-scenes-2017,0
a053_90_100,TUT-acoustic-scenes-2017,0
a053_160_170,TUT-acoustic-scenes-2017,0
a053_170_180,TUT-acoustic-scenes-2017,0
a053_150_160,TUT-acoustic-scenes-2017,0
a053_20_30,TUT-acoustic-scenes-2017,0
a053_10_20,TUT-acoustic-scenes-2017,0
a053_0_10,TUT-acoustic-scenes-2017,0
a053_120_130,TUT-acoustic-scenes-2017,0
a053_140_150,TUT-acoustic-scenes-2017,0
a053_130_140,TUT-acoustic-scenes-2017,0
a053_70_80,TUT-acoustic-scenes-2017,0
a053_80_90,TUT-acoustic-scenes-2017,0
a053_60_70,TUT-acoustic-scenes-2017,0
a083_40_50,TUT-acoustic-scenes-2017,0
a083_30_40,TUT-acoustic-scenes-2017,0
a083_50_60,TUT-acoustic-scenes-2017,0
a083_10_20,TUT-acoustic-scenes-2017,0
a083_0_10,TUT-acoustic-scenes-2017,0
a083_20_30,TUT-acoustic-scenes-2017,0
a083_170_180,TUT-acoustic-scenes-2017,0
a083_150_160,TUT-acoustic-scenes-2017,0
a083_160_170,TUT-acoustic-scenes-2017,0
a083_80_90,TUT-acoustic-scenes-2017,0
a083_70_80,TUT-acoustic-scenes-2017,0
a083_60_70,TUT-acoustic-scenes-2017,0
a083_140_150,TUT-acoustic-scenes-2017,0
a083_130_140,TUT-acoustic-scenes-2017,0
a083_120_130,TUT-acoustic-scenes-2017,0
a083_110_120,TUT-acoustic-scenes-2017,0
a083_100_110,TUT-acoustic-scenes-2017,0
a083_90_100,TUT-acoustic-scenes-2017,0
a082_50_60,TUT-acoustic-scenes-2017,0
a082_30_40,TUT-acoustic-scenes-2017,0
a082_40_50,TUT-acoustic-scenes-2017,0
a082_150_160,TUT-acoustic-scenes-2017,0
a082_170_180,TUT-acoustic-scenes-2017,0
a082_160_170,TUT-acoustic-scenes-2017,0
a082_110_120,TUT-acoustic-scenes-2017,0
a082_90_100,TUT-acoustic-scenes-2017,0
a082_100_110,TUT-acoustic-scenes-2017,0
a082_60_70,TUT-acoustic-scenes-2017,0
a082_70_80,TUT-acoustic-scenes-2017,0
a082_80_90,TUT-acoustic-scenes-2017,0
a082_130_140,TUT-acoustic-scenes-2017,0
a082_120_130,TUT-acoustic-scenes-2017,0
a082_140_150,TUT-acoustic-scenes-2017,0
b056_180_190,TUT-acoustic-scenes-2017,0
b056_200_210,TUT-acoustic-scenes-2017,0
b056_190_200,TUT-acoustic-scenes-2017,0
b056_90_100,TUT-acoustic-scenes-2017,0
b056_110_120,TUT-acoustic-scenes-2017,0
b056_100_110,TUT-acoustic-scenes-2017,0
b056_160_170,TUT-acoustic-scenes-2017,0
b056_170_180,TUT-acoustic-scenes-2017,0
b056_150_160,TUT-acoustic-scenes-2017,0
b056_70_80,TUT-acoustic-scenes-2017,0
b056_60_70,TUT-acoustic-scenes-2017,0
b056_80_90,TUT-acoustic-scenes-2017,0
b056_10_20,TUT-acoustic-scenes-2017,0
b056_0_10,TUT-acoustic-scenes-2017,0
b056_20_30,TUT-acoustic-scenes-2017,0
b056_130_140,TUT-acoustic-scenes-2017,0
b056_140_150,TUT-acoustic-scenes-2017,0
b056_120_130,TUT-acoustic-scenes-2017,0
a060_60_70,TUT-acoustic-scenes-2017,0
a060_80_90,TUT-acoustic-scenes-2017,0
a060_70_80,TUT-acoustic-scenes-2017,0
a060_20_30,TUT-acoustic-scenes-2017,0
a060_0_10,TUT-acoustic-scenes-2017,0
a060_10_20,TUT-acoustic-scenes-2017,0
a060_140_150,TUT-acoustic-scenes-2017,0
a060_130_140,TUT-acoustic-scenes-2017,0
a060_120_130,TUT-acoustic-scenes-2017,0
a060_110_120,TUT-acoustic-scenes-2017,0
a060_90_100,TUT-acoustic-scenes-2017,0
a060_100_110,TUT-acoustic-scenes-2017,0
a060_30_40,TUT-acoustic-scenes-2017,0
a060_40_50,TUT-acoustic-scenes-2017,0
a060_50_60,TUT-acoustic-scenes-2017,0
a130_90_100,TUT-acoustic-scenes-2017,0
a130_110_120,TUT-acoustic-scenes-2017,0
a130_100_110,TUT-acoustic-scenes-2017,0
a130_80_90,TUT-acoustic-scenes-2017,0
a130_60_70,TUT-acoustic-scenes-2017,0
a130_70_80,TUT-acoustic-scenes-2017,0
a130_170_180,TUT-acoustic-scenes-2017,0
a130_150_160,TUT-acoustic-scenes-2017,0
a130_160_170,TUT-acoustic-scenes-2017,0
a130_190_200,TUT-acoustic-scenes-2017,0
a130_200_210,TUT-acoustic-scenes-2017,0
a130_180_190,TUT-acoustic-scenes-2017,0
a130_210_220,TUT-acoustic-scenes-2017,0
a130_230_240,TUT-acoustic-scenes-2017,0
a130_220_230,TUT-acoustic-scenes-2017,0
a130_0_10,TUT-acoustic-scenes-2017,0
a130_10_20,TUT-acoustic-scenes-2017,0
a130_20_30,TUT-acoustic-scenes-2017,0
a130_130_140,TUT-acoustic-scenes-2017,0
a130_120_130,TUT-acoustic-scenes-2017,0
a130_140_150,TUT-acoustic-scenes-2017,0
a130_50_60,TUT-acoustic-scenes-2017,0
a130_30_40,TUT-acoustic-scenes-2017,0
a130_40_50,TUT-acoustic-scenes-2017,0
a126_120_130,TUT-acoustic-scenes-2017,0
a126_130_140,TUT-acoustic-scenes-2017,0
a126_140_150,TUT-acoustic-scenes-2017,0
a126_70_80,TUT-acoustic-scenes-2017,0
a126_80_90,TUT-acoustic-scenes-2017,0
a126_60_70,TUT-acoustic-scenes-2017,0
a126_50_60,TUT-acoustic-scenes-2017,0
a126_30_40,TUT-acoustic-scenes-2017,0
a126_40_50,TUT-acoustic-scenes-2017,0
a126_190_200,TUT-acoustic-scenes-2017,0
a126_200_210,TUT-acoustic-scenes-2017,0
a126_180_190,TUT-acoustic-scenes-2017,0
a126_110_120,TUT-acoustic-scenes-2017,0
a126_100_110,TUT-acoustic-scenes-2017,0
a126_90_100,TUT-acoustic-scenes-2017,0
a126_230_240,TUT-acoustic-scenes-2017,0
a126_220_230,TUT-acoustic-scenes-2017,0
a126_210_220,TUT-acoustic-scenes-2017,0
b097_90_100,TUT-acoustic-scenes-2017,0
b097_110_120,TUT-acoustic-scenes-2017,0
b097_100_110,TUT-acoustic-scenes-2017,0
b097_200_210,TUT-acoustic-scenes-2017,0
b097_180_190,TUT-acoustic-scenes-2017,0
b097_190_200,TUT-acoustic-scenes-2017,0
b097_260_270,TUT-acoustic-scenes-2017,0
b097_240_250,TUT-acoustic-scenes-2017,0
b097_250_260,TUT-acoustic-scenes-2017,0
b097_160_170,TUT-acoustic-scenes-2017,0
b097_150_160,TUT-acoustic-scenes-2017,0
b097_170_180,TUT-acoustic-scenes-2017,0
b097_20_30,TUT-acoustic-scenes-2017,0
b097_10_20,TUT-acoustic-scenes-2017,0
b097_0_10,TUT-acoustic-scenes-2017,0
b097_130_140,TUT-acoustic-scenes-2017,0
b097_120_130,TUT-acoustic-scenes-2017,0
b097_140_150,TUT-acoustic-scenes-2017,0
b097_30_40,TUT-acoustic-scenes-2017,0
b097_50_60,TUT-acoustic-scenes-2017,0
b097_40_50,TUT-acoustic-scenes-2017,0
b097_230_240,TUT-acoustic-scenes-2017,0
b097_210_220,TUT-acoustic-scenes-2017,0
b097_220_230,TUT-acoustic-scenes-2017,0
b096_110_120,TUT-acoustic-scenes-2017,0
b096_100_110,TUT-acoustic-scenes-2017,0
b096_90_100,TUT-acoustic-scenes-2017,0
b096_260_270,TUT-acoustic-scenes-2017,0
b096_250_260,TUT-acoustic-scenes-2017,0
b096_240_250,TUT-acoustic-scenes-2017,0
b096_190_200,TUT-acoustic-scenes-2017,0
b096_180_190,TUT-acoustic-scenes-2017,0
b096_200_210,TUT-acoustic-scenes-2017,0
b096_230_240,TUT-acoustic-scenes-2017,0
b096_220_230,TUT-acoustic-scenes-2017,0
b096_210_220,TUT-acoustic-scenes-2017,0
b096_20_30,TUT-acoustic-scenes-2017,0
b096_10_20,TUT-acoustic-scenes-2017,0
b096_0_10,TUT-acoustic-scenes-2017,0
b096_270_280,TUT-acoustic-scenes-2017,0
b096_280_290,TUT-acoustic-scenes-2017,0
b096_290_300,TUT-acoustic-scenes-2017,0
b096_160_170,TUT-acoustic-scenes-2017,0
b096_170_180,TUT-acoustic-scenes-2017,0
b096_150_160,TUT-acoustic-scenes-2017,0
b096_40_50,TUT-acoustic-scenes-2017,0
b096_30_40,TUT-acoustic-scenes-2017,0
b096_50_60,TUT-acoustic-scenes-2017,0
b096_140_150,TUT-acoustic-scenes-2017,0
b096_120_130,TUT-acoustic-scenes-2017,0
b096_130_140,TUT-acoustic-scenes-2017,0
a101_40_50,TUT-acoustic-scenes-2017,0
a101_50_60,TUT-acoustic-scenes-2017,0
a101_30_40,TUT-acoustic-scenes-2017,0
a101_160_170,TUT-acoustic-scenes-2017,0
a101_150_160,TUT-acoustic-scenes-2017,0
a101_170_180,TUT-acoustic-scenes-2017,0
a101_110_120,TUT-acoustic-scenes-2017,0
a101_90_100,TUT-acoustic-scenes-2017,0
a101_100_110,TUT-acoustic-scenes-2017,0
a101_200_210,TUT-acoustic-scenes-2017,0
a101_180_190,TUT-acoustic-scenes-2017,0
a101_190_200,TUT-acoustic-scenes-2017,0
a101_20_30,TUT-acoustic-scenes-2017,0
a101_0_10,TUT-acoustic-scenes-2017,0
a101_10_20,TUT-acoustic-scenes-2017,0
a094_170_180,TUT-acoustic-scenes-2017,0
a094_150_160,TUT-acoustic-scenes-2017,0
a094_160_170,TUT-acoustic-scenes-2017,0
a094_80_90,TUT-acoustic-scenes-2017,0
a094_60_70,TUT-acoustic-scenes-2017,0
a094_70_80,TUT-acoustic-scenes-2017,0
a094_30_40,TUT-acoustic-scenes-2017,0
a094_40_50,TUT-acoustic-scenes-2017,0
a094_50_60,TUT-acoustic-scenes-2017,0
a094_90_100,TUT-acoustic-scenes-2017,0
a094_110_120,TUT-acoustic-scenes-2017,0
a094_100_110,TUT-acoustic-scenes-2017,0
a094_120_130,TUT-acoustic-scenes-2017,0
a094_140_150,TUT-acoustic-scenes-2017,0
a094_130_140,TUT-acoustic-scenes-2017,0
a095_80_90,TUT-acoustic-scenes-2017,0
a095_70_80,TUT-acoustic-scenes-2017,0
a095_60_70,TUT-acoustic-scenes-2017,0
a095_40_50,TUT-acoustic-scenes-2017,0
a095_50_60,TUT-acoustic-scenes-2017,0
a095_30_40,TUT-acoustic-scenes-2017,0
a095_150_160,TUT-acoustic-scenes-2017,0
a095_170_180,TUT-acoustic-scenes-2017,0
a095_160_170,TUT-acoustic-scenes-2017,0
